Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceI,x,y,Answer,AnswerInt,Distance
8,A,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,132.76426599097084
7,C,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,151.29312414844316
2,C,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,210.9972765940196
3,A,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,210.9972765940196
17,A,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,302.7674340583953
4,Martin Meijers,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,358.01556060812806
5,oranje,52.2165559838,6.9025909714,99.5999755859,15,null,193,1.9390499592,1377337457000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258556.35183582,470911.79364324,CC,1,22.700411977689605
22,C,52.2164058639,6.8946881779,97.9000244141,10,null,283,0.8756999969,1377337927000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258016.703788477,470883.836886964,CD,2,228.5209528734985
12,B,52.2200565599,6.8942817394,95.700012207,10,null,359,0.9382500052,1377338406000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257980.490213112,471289.380509639,CC,1,11.936073436003971
13,dienst uitvoering onderwijs,52.218437721,6.8895181362,91.9000244141,5,null,179,0.4378499985,1377338875000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257658.751427879,471102.538258745,CC,1,12.381755006091893
24,1.00,52.2198357806,6.8962089065,93.9000244141,10,null,106,0.18765001,1377339291000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258112.673818713,471267.558695545,IC,3,12.928456268087338
6,blauw,52.2193624126,6.8966027722,101.299987793,15,null,166,0.5004000068,1377339570000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258140.680845677,471215.459139569,CC,1,18.79003620514294
10,C,52.2183884354,6.8983039632,100,10,null,244,0.8131499887,1377339907000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258259.173553714,471109.53047245,CC,1,45.51399262888627
20,C,52.2212670324,6.899217926,98.700012207,15,null,72,2.9398498535,1377340379000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258314.943589486,471431.061116786,CD,2,200066.79574450807
16,B,52.2224026965,6.8958204892,101.9000244141,10,null,286,0.6880499721,1377340702000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258080.19357214,471552.562538507,CC,1,59.080838272771345
19,B,52.222125968,6.8965851702,94.799987793,10,null,184,1.5637500286,1377340777000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258133.078024432,471522.865275735,CC,1,40.1350971525402
15,D,52.2220575716,6.8904046901,93.299987793,10,null,300,2.1892499924,1377340986000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257710.977997383,471506.483801222,CC,1,35.268286137369074
14,D,52.2217842797,6.8875414319,88.0999755859,5,null,248,0,1377341165000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257515.985434946,471472.029455693,CD,2,165.75422889438718
11,D,52.2217842797,6.8875414319,88.0999755859,5,null,248,0,1377341165000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257515.985434946,471472.029455693,CD,2,515.133584774511
23,1.5,52.2217842797,6.8875414319,88.0999755859,5,null,248,0,1377341165000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257515.985434946,471472.029455693,CD,2,814.3167618326441
8,C,52.2199017,6.8960806,null,883,null,null,null,1377336116000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258103.754707524,471274.709437579,IC,3,87.7384218158716
7,C,52.2199017,6.8960806,null,883,null,null,null,1377336116000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258103.754707524,471274.709437579,CD,2,108.43111384772888
2,C,52.2181239,6.896661,null,50,null,null,null,1377336492000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258147.527676209,471077.763926699,CC,1,56.83319846652741
3,A,52.2181146825,6.8973154854,93.0999755859,25,null,109,0.9382500052,1377336463000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258192.268244393,471077.669733107,CC,1,37.737961325129575
17,A,52.21708111,6.8992995657,110.9000244141,35,null,35,0.3127500117,1377337108000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258330.232976541,470965.515716357,CD,2,292.3061622666698
4,Martin meijers,52.2170548327,6.8992831372,112.4000244141,20,null,191,0.2502000034,1377337150000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258329.171399142,470962.569096208,CC,1,15.55945827169761
5,oranje,52.2164740087,6.9025816675,97.299987793,10,null,346,0,1377337415000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258555.906699793,470902.661070184,CC,1,13.971105920774965
22,C,52.2163880942,6.8944794685,102.0999755859,5,null,331,0,1377337954000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258002.483779021,470881.563613105,CD,2,214.1236422521208
12,B,52.2200612957,6.894352315,91.5,15,null,329,0.9382500052,1377338403000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257985.301294224,471290.00757754,CC,1,16.782799057060647
13,dienst uitvoering onderwijs,52.2185014235,6.8895837665,86.4000244141,5,null,278,0,1377338889000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257663.08890031,471109.717756509,CC,1,19.005049193670747
24,1,52.21970079,6.8961768039,78,15,null,321,0,1377339394000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258110.792959112,471252.496043883,CC,1,16.980332624264168
6,blauw,52.2192976205,6.8965601921,109,20,null,26,0,1377339523000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258137.921592662,471208.190791327,CC,1,11.394766029398584
10,A,52.2188553074,6.8987421691,105.4000244141,20,null,231,0,1377340132000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258288.032022004,471162.091626323,IC,3,14.516225563405287
20,C,52.2209895076,6.8982298672,102,20,null,331,2.3143498898,1377340312000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258248.080426822,471398.780572337,CD,2,199999.93645817004
